"AptName"	"SeqId"	"SeqIdVersion"	"SomaId"	"TargetFullName"	"Target"	"UniProt"	"EntrezGeneID"	"EntrezGeneSymbol"	"Organism"	"Units"	"Type"	"Dilution"	"PlateScale_Reference"	"CalReference"	"Cal_Example_Adat_Set001"	"ColCheck"	"CalQcRatio_Example_Adat_Set001_170255"	"QcReference_170255"	"Cal_Example_Adat_Set002"	"CalQcRatio_Example_Adat_Set002_170255"	"Dilution2"
"seq.13614.6"	"13614-6"	3	"SL003777"	"CREB-binding protein"	"CREB-binding protein"	"Q92793"	"1387"	"CREBBP"	"Human"	"RFU"	"Protein"	"0.5"	6141.3	6141.3	1.03333221	"PASS"	1.024	6548.9	1.04128658	0.999	0.005
"seq.13615.60"	"13615-60"	3	"SL007010"	"Cytoplasmic protein NCK2"	"NCK2"	"O43639"	"8440"	"NCK2"	"Human"	"RFU"	"Protein"	"20"	2185.3	2185.3	0.94778158	"PASS"	0.957	2469.6	1.10457946	0.933	0.2
"seq.13618.15"	"13618-15"	3	"SL015381"	"Mitotic spindle assembly checkpoint protein MAD1"	"MD1L1"	"Q9Y6D9"	"8379"	"MAD1L1"	"Human"	"RFU"	"Protein"	"20"	1226.2	1226.2	1.03206801	"PASS"	0.983	1183.7	1.06811847	1.017	0.2
"seq.13620.10"	"13620-10"	3	"SL016377"	"ATPase ASNA1"	"ASNA"	"O43681"	"439"	"ASNA1"	"Human"	"RFU"	"Protein"	"20"	407.4	407.4	1.03296146	"PASS"	0.999	396.9	1.00667161	1.022	0.2
"seq.13621.31"	"13621-31"	3	"SL020199"	"AP-2 complex subunit alpha-2"	"AP2A2"	"O94973"	"161"	"AP2A2"	"Human"	"RFU"	"Protein"	"20"	10563.8	10563.8	0.97286893	"PASS"	0.992	9860.8	0.95802877	1.016	0.2
"seq.13622.16"	"13622-16"	3	"SL014961"	"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform"	"2A5A"	"Q15172"	"5525"	"PPP2R5A"	"Human"	"RFU"	"Protein"	"20"	7984	7984	1.00606106	"PASS"	1.002	7811.7	0.93486177	1.011	0.2
"seq.13623.4"	"13623-4"	3	"SL007956"	"Histone-lysine N-methyltransferase 2D"	"MLL2"	"O14686"	"8085"	"MLL2"	"Human"	"RFU"	"Protein"	"20"	1082.9	1082.9	1.08095428	"PASS"	1.049	1212.9	1.12802083	1.02	0.2
"seq.13624.17"	"13624-17"	3	"SL020213"	"NAD kinase"	"NADK"	"O95544"	""	"NADK"	"Human"	"RFU"	"Protein"	"20"	317.4	317.4	0.98571429	"PASS"	0.958	323.1	1.01763386	0.969	0.2
"seq.13625.19"	"13625-19"	3	"SL013009"	"Lupus La protein"	"LA"	"P05455"	"6741"	"SSB"	"Human"	"RFU"	"Protein"	"20"	446.4	446.4	1.02432308	"PASS"	0.984	424.8	1.05357564	0.953	0.2
"seq.13628.58"	"13628-58"	3	"SL020196"	"Growth factor receptor-bound protein 14"	"GRB14"	"Q14449"	""	"GRB14"	"Human"	"RFU"	"Protein"	"0.5"	918.9	918.9	0.97516714	"PASS"	1.003	989.8	0.91606021	1.072	0.005
"seq.13629.25"	"13629-25"	3	"SL020200"	"Cysteine protease ATG4B"	"ATG4B"	"Q9Y4P1"	"23192"	"ATG4B"	"Human"	"RFU"	"Protein"	"20"	3944.5	3944.5	0.98332253	"PASS"	1.008	2477.9	0.92107414	1.041	0.2
"seq.13631.1"	"13631-1"	3	"SL003766"	"Retinoblastoma-binding protein 5"	"RB binding protein 5"	"Q15291"	"5929"	"RBBP5"	"Human"	"RFU"	"Protein"	"20"	1057.8	1057.8	1.08192697	"PASS"	0.992	914.3	1.12844037	0.997	0.2
"seq.13632.10"	"13632-10"	3	"SL009456"	"Zyxin"	"Zyxin"	"Q15942"	"7791"	"ZYX"	"Human"	"RFU"	"Protein"	"0.5"	3304.2	3304.2	1.03657924	"PASS"	1.017	2675.4	0.98123181	1.05	0.005
"seq.13634.209"	"13634-209"	3	"SL006975"	"Pirin"	"PIR"	"O00625"	"8544"	"PIR"	"Human"	"RFU"	"Protein"	"20"	1407.7	1407.7	0.9292976	"PASS"	0.997	1720.3	0.88718724	1	0.2
"seq.13636.20"	"13636-20"	3	"SL008135"	"Nucleosome assembly protein 1-like 1"	"NP1L1"	"P55209"	"4673"	"NAP1L1"	"Human"	"RFU"	"Protein"	"20"	6483.2	6483.2	0.97616502	"PASS"	1.015	4188.5	0.92330917	1.018	0.2
"seq.13639.101"	"13639-101"	3	"SL016380"	"General vesicular transport factor p115"	"USO1"	"O60763"	"8615"	"USO1"	"Human"	"RFU"	"Protein"	"20"	413	413	0.99758454	"PASS"	0.938	421.6	1.03405108	0.951	0.2
"seq.13642.90"	"13642-90"	3	"SL004393"	"Interferon-induced protein with tetratricopeptide repeats 3"	"CIG49"	"O14879"	"3437"	"IFIT3"	"Human"	"RFU"	"Protein"	"20"	445.2	445.2	0.97226469	"PASS"	1.009	357.4	0.92943633	1.012	0.2
"seq.13644.30"	"13644-30"	3	"SL016371"	"Hepatocyte growth factor-regulated tyrosine kinase substrate"	"HGS"	"O14964"	"9146"	"HGS"	"Human"	"RFU"	"Protein"	"20"	892.9	892.9	0.95640531	"PASS"	1.005	866.7	0.96613287	1.022	0.2
"seq.13645.14"	"13645-14"	3	"SL020202"	"Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16"	"PRP16"	"Q92620"	""	"DHX38"	"Human"	"RFU"	"Protein"	"20"	1354.9	1354.9	1.11845798	"PASS"	0.965	1157	1.21766873	1.014	0.2
"seq.13650.11"	"13650-11"	3	"SL020183"	"Kv channel-interacting protein 1"	"KCIP1"	"Q9NZI2"	""	"KCNIP1"	"Human"	"RFU"	"Protein"	"20"	2071.5	2071.5	1.09655391	"PASS"	1.093	1559	1.12919052	1.148	0.2
"seq.13651.54"	"13651-54"	3	"SL020192"	"E3 ubiquitin-protein ligase ZFP91"	"ZFP91"	"Q96JP5"	""	"ZFP91"	"Human"	"RFU"	"Protein"	"20"	661.9	661.9	0.98673226	"PASS"	1.019	367.6	1.00348696	1.031	0.2
"seq.13652.2"	"13652-2"	3	"SL020197"	"TOM1-like protein 1"	"TM1L1"	"O75674"	""	"TOM1L1"	"Human"	"RFU"	"Protein"	"0.5"	1123.8	1123.8	0.98028611	"PASS"	0.983	1238.5	1.13526619	0.881	0.005
"seq.13653.335"	"13653-335"	3	"SL020203"	"O-acetyl-ADP-ribose deacetylase MACROD1"	"MACD1"	"Q9BQ69"	""	"MACROD1"	"Human"	"RFU"	"Protein"	"20"	1345.9	1345.9	1.09672425	"PASS"	1.058	1071	1.11323408	1.138	0.2
"seq.13654.1"	"13654-1"	3	"SL005370"	"Rho-associated protein kinase 2"	"ROCK2"	"O75116"	"9475"	"ROCK2"	"Human"	"RFU"	"Protein"	"20"	353.1	353.1	0.98466258	"PASS"	0.965	421.2	1.01582278	0.962	0.2
"seq.13655.34"	"13655-34"	3	"SL005695"	"Nucleolin"	"Nucleolin"	"P19338"	"4691"	"NCL"	"Human"	"RFU"	"Protein"	"20"	429.7	429.7	1.02578181	"PASS"	0.956	400.1	1.0599408	0.995	0.2
"seq.13657.2"	"13657-2"	3	"SL007610"	"Bifunctional polynucleotide phosphatase/kinase"	"PNKP"	"Q96T60"	"11284"	"PNKP"	"Human"	"RFU"	"Protein"	"20"	304.1	304.1	1.00363036	"PASS"	0.888	335.2	0.99868637	1.038	0.2
"seq.13658.31"	"13658-31"	3	"SL011071"	"Platelet-derived growth factor C"	"PDGF-CC"	"Q9NRA1"	"56034"	"PDGFC"	"Human"	"RFU"	"Protein"	"20"	1821.7	1821.7	0.99508385	"PASS"	0.94	1079	1.15854744	1.052	0.2
"seq.13659.36"	"13659-36"	3	"SL020228"	"Manganese-transporting ATPase 13A1"	"AT131"	"Q9HD20"	"57130"	"ATP13A1"	"Human"	"RFU"	"Protein"	"0.5"	29395.2	29395.2	1.10466742	"FLAG"	1.234	21768.8	0.96974496	1.119	0.005
"seq.13665.35"	"13665-35"	3	"SL004990"	"Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha"	"PP2A, subunit B"	"Q06190"	"5523"	"PPP2R3A"	"Human"	"RFU"	"Protein"	"20"	1114.6	1114.6	1.09693928	"PASS"	1.008	1172	0.90368088	1.004	0.2
"seq.13666.222"	"13666-222"	3	"SL010449"	"Carbonic anhydrase-related protein 10"	"Carbonic Anhydrase X"	"Q9NS85"	"56934"	"CA10"	"Human"	"RFU"	"Protein"	"20"	1395	1395	0.95830185	"PASS"	0.974	1501.3	0.98280964	0.987	0.2
"seq.13669.6"	"13669-6"	3	"SL004063"	"Fibroblast growth factor receptor 3"	"FGFR-3"	"P22607"	"2261"	"FGFR3"	"Human"	"RFU"	"Protein"	"20"	9665.5	9665.5	0.99167915	"PASS"	1.122	10361.7	0.67224699	1.064	0.2
"seq.13671.40"	"13671-40"	3	"SL000401"	"Neutrophil elastase"	"Elastase"	"P08246"	"1991"	"ELANE"	"Human"	"RFU"	"Protein"	"0.5"	40306.6	40306.6	1.0235713	"PASS"	1.006	41250	0.92466266	1.016	0.005
"seq.13672.3"	"13672-3"	3	"SL013017"	"Heat shock 70 kDa protein 6"	"HSP76"	"P17066"	"3310"	"HSPA6"	"Human"	"RFU"	"Protein"	"20"	1584.8	1584.8	1.04263158	"PASS"	1.001	1424.7	1.06864464	1.02	0.2
"seq.13673.21"	"13673-21"	3	"SL008288"	"T-complex protein 1 subunit eta"	"TCPH"	"Q99832"	"10574"	"CCT7"	"Human"	"RFU"	"Protein"	"20"	1650.4	1650.4	0.66723267	"FLAG"	1.05	611.9	0.6059182	1.423	0.2
"seq.13676.46"	"13676-46"	3	"SL001933"	"Inhibin beta B chain"	"Inhibin bB chain"	"P09529"	"3625"	"INHBB"	"Human"	"RFU"	"Protein"	"20"	13859.7	13859.7	0.97554744	"PASS"	0.994	15881.5	0.88530402	0.966	0.2
"seq.13680.3"	"13680-3"	3	"SL020216"	"NGFI-A-binding protein 2"	"NAB2"	"Q15742"	""	"NAB2"	"Human"	"RFU"	"Protein"	"20"	301.2	301.2	1.02623509	"PASS"	0.943	346.1	1.09368192	0.956	0.2
"seq.13681.173"	"13681-173"	3	"SL013751"	"Casein kinase II subunit alpha'"	"CSK22"	"P19784"	"1459"	"CSNK2A2"	"Human"	"RFU"	"Protein"	"20"	601.2	601.2	1.08972268	"PASS"	1.047	558.1	1.14557927	0.976	0.2
"seq.13682.47"	"13682-47"	3	"SL004153"	"Macrophage colony-stimulating factor 1 receptor"	"M-CSF R"	"P07333"	"1436"	"CSF1R"	"Human"	"RFU"	"Protein"	"0.005"	3855.9	3855.9	0.98099527	"PASS"	0.974	3486	0.97245971	0.986	5e-05
"seq.13683.18"	"13683-18"	3	"SL020231"	"Chloride channel protein ClC-Kb"	"CLCKB"	"P51801"	""	"CLCNKB"	"Human"	"RFU"	"Protein"	"20"	226.3	226.3	0.88640815	"FLAG"	1.037	204.9	2.99735099	0.509	0.2
"seq.13686.2"	"13686-2"	3	"SL005188"	"Interleukin-5 receptor subunit alpha"	"IL-5 Ra"	"Q01344"	"3568"	"IL5RA"	"Human"	"RFU"	"Protein"	"20"	1857	1857	0.87934463	"PASS"	0.947	2137.6	1.1403832	0.895	0.2
"seq.13688.2"	"13688-2"	3	"SL020217"	"Calcyphosin-like protein"	"CAPSL"	"Q8WWF8"	""	"CAPSL"	"Human"	"RFU"	"Protein"	"20"	608.6	608.6	0.99460696	"PASS"	1.039	488.8	0.94975031	1.006	0.2
"seq.13689.2"	"13689-2"	3	"SL003670"	"Ornithine decarboxylase"	"Ornithine decarboxylase"	"P11926"	"4953"	"ODC1"	"Human"	"RFU"	"Protein"	"20"	1687.3	1687.3	0.9204626	"PASS"	1.055	4410.7	0.88903525	1.057	0.2
"seq.13691.10"	"13691-10"	3	"SL020232"	"Sodium-coupled monocarboxylate transporter 1"	"SC5A8"	"Q8N695"	""	"SLC5A8"	"Human"	"RFU"	"Protein"	"0.5"	2800.9	2800.9	0.93239015	"PASS"	1.021	2606.7	0.89451329	1.157	0.005
"seq.13692.154"	"13692-154"	3	"SL004689"	"WNT1-inducible-signaling pathway protein 1"	"WISP-1"	"O95388"	"8840"	"WISP1"	"Human"	"RFU"	"Protein"	"20"	613.1	613.1	0.99480772	"PASS"	0.947	798.9	1.04074011	0.948	0.2
"seq.13694.24"	"13694-24"	3	"SL005226"	"Cytokine receptor-like factor 2"	"TSLP R"	"Q9HC73"	"64109"	"CRLF2"	"Human"	"RFU"	"Protein"	"20"	304.5	304.5	0.96147774	"PASS"	1.035	301.1	1.00197433	0.997	0.2
"seq.13697.51"	"13697-51"	3	"SL007151"	"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic"	"GPDA"	"P21695"	"2819"	"GPD1"	"Human"	"RFU"	"Protein"	"0.5"	3912.8	3912.8	0.97384206	"PASS"	1.104	3337.7	0.80764547	1.067	0.005
"seq.13698.28"	"13698-28"	3	"SL020223"	"Dyslexia-associated protein KIAA0319-like protein"	"K319L"	"Q8IZA0"	""	"KIAA0319L"	"Human"	"RFU"	"Protein"	"20"	764.4	764.4	1.06343907	"PASS"	1.012	770.9	1.05770029	1.02	0.2
"seq.13700.10"	"13700-10"	3	"SL004209"	"Annexin A2"	"annexin II"	"P07355"	"302"	"ANXA2"	"Human"	"RFU"	"Protein"	"20"	8461.9	8461.9	0.92881762	"PASS"	0.981	10358.1	0.93398455	0.994	0.2
"seq.13704.5"	"13704-5"	3	"SL014847"	"Hydroxymethylglutaryl-CoA synthase, mitochondrial"	"HMCS2"	"P54868"	"3158"	"HMGCS2"	"Human"	"RFU"	"Protein"	"20"	1102.1	1102.1	1.00300328	"PASS"	0.981	540	0.90085009	1.025	0.2
"seq.13711.10"	"13711-10"	3	"SL008164"	"Clathrin heavy chain 1"	"CLH1"	"Q00610"	"1213"	"CLTC"	"Human"	"RFU"	"Protein"	"20"	841.7	841.7	1.01178026	"PASS"	1.047	684.9	1.02384138	1.017	0.2
"seq.13713.164"	"13713-164"	3	"SL020224"	"Vesicle-trafficking protein SEC22a"	"SC22A"	"Q96IW7"	""	"SEC22A"	"Human"	"RFU"	"Protein"	"20"	602.1	602.1	0.94521193	"PASS"	1.152	1125.9	0.75271909	1.045	0.2
"seq.13717.15"	"13717-15"	3	"SL006542"	"Ficolin-2"	"FCN2"	"Q15485"	"2220"	"FCN2"	"Human"	"RFU"	"Protein"	"0.5"	16696.8	16696.8	0.93770639	"PASS"	0.964	13988.5	1.05893769	0.958	0.005
"seq.13719.19"	"13719-19"	3	"SL020219"	"Serine/threonine-protein kinase PAK 4"	"PAK4"	"O96013"	""	"PAK4"	"Human"	"RFU"	"Protein"	"20"	1871.9	1871.9	0.93454818	"PASS"	1.05	1588.2	0.9509271	1.045	0.2
"seq.13720.95"	"13720-95"	3	"SL004008"	"Myeloblastin"	"Proteinase-3"	"P24158"	"5657"	"PRTN3"	"Human"	"RFU"	"Protein"	"0.5"	2479.8	2479.8	1.03992284	"PASS"	1.015	2244.6	0.98124406	0.996	0.005
"seq.13724.27"	"13724-27"	3	"SL004337"	"Fibroblast growth factor 19"	"FGF-19"	"O95750"	"9965"	"FGF19"	"Human"	"RFU"	"Protein"	"20"	9073.7	9073.7	0.96231838	"PASS"	0.971	7240.8	0.9910763	0.998	0.2
"seq.13726.4"	"13726-4"	3	"SL003738"	"T-lymphocyte activation antigen CD80"	"B7"	"P33681"	"941"	"CD80"	"Human"	"RFU"	"Protein"	"20"	441.7	441.7	0.91449275	"FLAG"	0.97	876.4	1.86135693	0.531	0.2
"seq.13727.44"	"13727-44"	3	"SL020220"	"Speckle-type POZ protein"	"SPOP"	"O43791"	""	"SPOP"	"Human"	"RFU"	"Protein"	"20"	804	804	0.98941669	"PASS"	0.968	414.2	1.08049993	1.093	0.2
"seq.13728.19"	"13728-19"	3	"SL003522"	"Endoplasmic reticulum resident protein 29"	"ERP29"	"P30040"	"10961"	"ERP29"	"Human"	"RFU"	"Protein"	"0.5"	1125.4	1125.4	1.0214195	"PASS"	0.998	1185.1	1.01533742	1.026	0.005
"seq.13729.26"	"13729-26"	3	"SL020226"	"Sideroflexin-5"	"SFXN5"	"Q8TD22"	""	"SFXN5"	"Human"	"RFU"	"Protein"	"20"	525.1	525.1	0.98963438	"PASS"	0.919	442.9	1.45135434	0.849	0.2
"seq.13733.5"	"13733-5"	3	"SL004250"	"Interleukin-12 subunit beta"	"IL-12 p40"	"P29460"	"3593"	"IL12B"	"Human"	"RFU"	"Protein"	"20"	300.6	300.6	0.97883426	"PASS"	1.017	247.8	0.90678733	1.001	0.2
"seq.13735.1"	"13735-1"	3	"SL020221"	"Rap1 GTPase-activating protein 1"	"RPGP1"	"P47736"	""	"RAP1GAP"	"Human"	"RFU"	"Protein"	"20"	558.2	558.2	1.00053773	"PASS"	0.975	1002	1.01490909	0.953	0.2
"seq.13738.8"	"13738-8"	3	"SL001932"	"Inhibin beta A chain"	"Inhibin bA chain"	"P08476"	"3624"	"INHBA"	"Human"	"RFU"	"Protein"	"20"	1305.1	1305.1	0.98386732	"PASS"	1.011	1348.4	0.94176649	0.972	0.2
"seq.13740.51"	"13740-51"	3	"SL004650"	"Secreted frizzled-related protein 3"	"sFRP-3"	"Q92765"	"2487"	"FRZB"	"Human"	"RFU"	"Protein"	"0.5"	2014.4	2014.4	0.97663144	"PASS"	0.972	1816.7	1.03963666	0.948	0.005
"seq.13743.56"	"13743-56"	3	"SL020222"	"Cullin-4B"	"CUL4B"	"Q13620"	""	"CUL4B"	"Human"	"RFU"	"Protein"	"20"	544.9	544.9	0.99343665	"PASS"	0.991	542.8	0.99543296	0.958	0.2
"seq.13744.37"	"13744-37"	3	"SL005187"	"Interleukin-3 receptor subunit alpha"	"IL-3 Ra"	"P26951"	"3563"	"IL3RA"	"Human"	"RFU"	"Protein"	"20"	7203	7203	0.96927859	"PASS"	0.984	7443.2	0.91380798	1.02	0.2
"seq.13745.10"	"13745-10"	3	"SL020155"	"Polycystin-2"	"PKD2"	"Q13563"	""	"PKD2"	"Human"	"RFU"	"Protein"	"20"	277.8	277.8	1.05667554	"PASS"	0.948	489.5	1.09542587	0.948	0.2
"seq.13748.4"	"13748-4"	3	"SL000515"	"C-C motif chemokine 8"	"MCP-2"	"P80075"	"6355"	"CCL8"	"Human"	"RFU"	"Protein"	"20"	324.3	324.3	1.00247295	"PASS"	0.968	343.9	0.96260018	0.981	0.2
"seq.13926.1"	"13926-1"	3	"SL020268"	"RecQ-mediated genome instability protein 1"	"RMI1"	"Q9H9A7"	""	"RMI1"	"Human"	"RFU"	"Protein"	"20"	1539.2	1539.2	1.12186589	"PASS"	1.03	1447.5	1.05064846	1.123	0.2
"seq.13929.27"	"13929-27"	3	"SL020289"	"Peroxisomal carnitine O-octanoyltransferase"	"OCTC"	"Q9UKG9"	"54677"	"CROT"	"Human"	"RFU"	"Protein"	"20"	442.4	442.4	0.97919433	"PASS"	0.952	570.7	1.0031746	0.97	0.2
"seq.13930.3"	"13930-3"	3	"SL007678"	"DNA dC->dU-editing enzyme APOBEC-3G"	"ABC3G"	"Q9HC16"	"60489"	"APOBEC3G"	"Human"	"RFU"	"Protein"	"20"	558.7	558.7	1.03520474	"PASS"	1.02	560.5	0.97402371	1.067	0.2
"seq.13931.22"	"13931-22"	3	"SL012980"	"26S proteasome non-ATPase regulatory subunit 9"	"PSMD9"	"O00233"	"5715"	"PSMD9"	"Human"	"RFU"	"Protein"	"20"	3161.8	3161.8	0.94664671	"FLAG"	0.84	3975.2	1.767949	0.591	0.2
"seq.13932.45"	"13932-45"	3	"SL005746"	"Rho guanine nucleotide exchange factor 7"	"COOL-1"	"Q14155"	"8874"	"ARHGEF7"	"Human"	"RFU"	"Protein"	"20"	1848.5	1848.5	1.0170564	"PASS"	0.98	1663.3	1.25979691	1.07	0.2
"seq.13933.276"	"13933-276"	3	"SL020257"	"NGFI-A-binding protein 1"	"NAB1"	"Q13506"	""	"NAB1"	"Human"	"RFU"	"Protein"	"0.5"	6494.2	6494.2	0.91799895	"PASS"	1.064	7128.5	0.83381909	0.973	0.005
"seq.13934.3"	"13934-3"	3	"SL014593"	"Guanine nucleotide exchange factor DBS"	"MCF2L"	"O15068"	"23263"	"MCF2L"	"Human"	"RFU"	"Protein"	"20"	549.9	549.9	1.03735144	"PASS"	0.953	553.9	1.1492163	0.909	0.2
"seq.13936.24"	"13936-24"	3	"SL020280"	"Phosphoglycerate kinase 2"	"PGK2"	"P07205"	""	"PGK2"	"Human"	"RFU"	"Protein"	"20"	266.4	266.4	1.02936631	"PASS"	0.962	335.2	1.02264875	0.958	0.2
"seq.13937.75"	"13937-75"	3	"SL008246"	"Cullin-associated NEDD8-dissociated protein 1"	"CAND1"	"Q86VP6"	"55832"	"CAND1"	"Human"	"RFU"	"Protein"	"0.5"	2309.9	2309.9	0.99384735	"PASS"	0.982	1682.9	0.99312094	0.999	0.005
"seq.13939.14"	"13939-14"	3	"SL006519"	"UTP--glucose-1-phosphate uridylyltransferase"	"UGPA1"	"Q16851"	"7360"	"UGP2"	"Human"	"RFU"	"Protein"	"20"	435.1	435.1	0.92515416	"PASS"	0.935	624.4	0.8576779	1.086	0.2
"seq.13940.19"	"13940-19"	3	"SL006071"	"Gamma-interferon-inducible protein 16"	"IP16"	"Q16666"	"3428"	"IFI16"	"Human"	"RFU"	"Protein"	"20"	1512.4	1512.4	0.99519642	"PASS"	0.957	1580.3	1.01948096	0.956	0.2
"seq.13941.82"	"13941-82"	3	"SL020259"	"Phenylalanine--tRNA ligase, mitochondrial"	"SYFM"	"O95363"	""	"FARS2"	"Human"	"RFU"	"Protein"	"20"	1729.6	1729.6	1.02403789	"PASS"	1.001	1734.2	0.92829541	1.021	0.2
"seq.13942.140"	"13942-140"	3	"SL020269"	"SPRY domain-containing SOCS box protein 1"	"SPSB1"	"Q96BD6"	""	"SPSB1"	"Human"	"RFU"	"Protein"	"20"	507.4	507.4	1.03424378	"PASS"	1.041	550.3	1.12755556	0.952	0.2
"seq.13943.38"	"13943-38"	3	"SL020276"	"Protein dpy-30 homolog"	"DPY30"	"Q9C005"	""	"DPY30"	"Human"	"RFU"	"Protein"	"20"	5341.9	5341.9	0.99397131	"PASS"	0.94	4850.6	0.9800932	0.973	0.2
"seq.13944.3"	"13944-3"	3	"SL000578"	"Sulfotransferase 1A3"	"SULT 1A3"	"P0DMM9"	"445329"	"SULT1A3"	"Human"	"RFU"	"Protein"	"20"	346.8	346.8	0.95039737	"PASS"	0.977	460.1	0.99114033	0.992	0.2
"seq.13946.8"	"13946-8"	3	"SL020297"	"Probable ATP-dependent RNA helicase DDX23"	"DDX23"	"Q9BUQ8"	""	"DDX23"	"Human"	"RFU"	"Protein"	"20"	1742.1	1742.1	1.07338262	"PASS"	1.109	1437.8	0.99395219	1.143	0.2
"seq.13947.371"	"13947-371"	3	"SL020301"	"Peroxisomal NADH pyrophosphatase NUDT12"	"NUD12"	"Q9BQG2"	""	"NUDT12"	"Human"	"RFU"	"Protein"	"20"	1068.6	1068.6	0.94978224	"PASS"	1.021	1007.6	1.03878682	1.037	0.2
"seq.13948.50"	"13948-50"	3	"SL019207"	"Gamma-aminobutyric acid type B receptor subunit 2"	"GABR2"	"O75899"	"9568"	"GABBR2"	"Human"	"RFU"	"Protein"	"20"	1044.2	1044.2	0.95947809	"PASS"	1.057	1222.1	0.78434613	1.03	0.2
"seq.13950.9"	"13950-9"	3	"SL015375"	"Collagen type IV alpha-3-binding protein"	"C43BP"	"Q9Y5P4"	"10087"	"COL4A3BP"	"Human"	"RFU"	"Protein"	"20"	936.8	936.8	0.91861149	"PASS"	0.996	945.9	0.92697407	0.963	0.2
"seq.13954.9"	"13954-9"	3	"SL020298"	"Glucosamine 6-phosphate N-acetyltransferase"	"GNA1"	"Q96EK6"	""	"GNPNAT1"	"Human"	"RFU"	"Protein"	"20"	939.4	939.4	0.94783574	"PASS"	0.978	1608.6	0.93324061	0.987	0.2
"seq.13955.33"	"13955-33"	3	"SL007277"	"Death-associated protein kinase 1"	"DAPK1"	"P53355"	"1612"	"DAPK1"	"Human"	"RFU"	"Protein"	"20"	358.9	358.9	0.99473392	"PASS"	1.006	361.7	1.04727167	0.949	0.2
"seq.13958.5"	"13958-5"	3	"SL020270"	"Probable RNA-binding protein 46"	"RBM46"	"Q8TBY0"	""	"RBM46"	"Human"	"RFU"	"Protein"	"20"	320	320	0.98189629	"PASS"	0.996	344.2	0.96327514	1.05	0.2
"seq.13959.7"	"13959-7"	3	"SL000499"	"Cytosol aminopeptidase"	"LAP"	"P28838"	"51056"	"LAP3"	"Human"	"RFU"	"Protein"	"20"	12314.7	12314.7	0.94443678	"PASS"	1.008	15470.3	0.92810847	1.011	0.2
"seq.13960.15"	"13960-15"	3	"SL020282"	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3"	"AGAP3"	"Q96P47"	"116988"	"AGAP3"	"Human"	"RFU"	"Protein"	"20"	782	782	1.03589879	"PASS"	0.993	718.8	1.11427757	0.977	0.2
"seq.13961.18"	"13961-18"	3	"SL020291"	"Kinesin-like protein KIF3A"	"KIF3A"	"Q9Y496"	""	"KIF3A"	"Human"	"RFU"	"Protein"	"0.5"	7892.4	7892.4	1.01605366	"PASS"	1.127	8007.8	0.92445007	1.114	0.005
"seq.13963.7"	"13963-7"	3	"SL004521"	"Toll-interacting protein"	"tollip"	"Q9H0E2"	"54472"	"TOLLIP"	"Human"	"RFU"	"Protein"	"20"	2136.4	2136.4	0.96950445	"PASS"	0.938	2604	1.00669117	0.973	0.2
"seq.13966.30"	"13966-30"	3	"SL008254"	"Myomesin-3"	"MYOM3"	"Q5VTT5"	"127294"	"MYOM3"	"Human"	"RFU"	"Protein"	"20"	2981.9	2981.9	1.04536372	"PASS"	1.001	2260.9	1.13734839	1.119	0.2
"seq.13967.14"	"13967-14"	3	"SL005724"	"Thioredoxin reductase 1, cytoplasmic"	"Thioredoxin reductase 1"	"Q16881"	"7296"	"TXNRD1"	"Human"	"RFU"	"Protein"	"0.5"	2317.8	2317.8	1.00259538	"PASS"	0.995	2053.5	0.99442252	1.035	0.005
"seq.13969.24"	"13969-24"	3	"SL020292"	"Importin subunit alpha-7"	"IMA7"	"O60684"	""	"KPNA6"	"Human"	"RFU"	"Protein"	"20"	1308.2	1308.2	0.97714371	"PASS"	1.099	786.7	0.74114781	1.161	0.2
"seq.13972.4"	"13972-4"	3	"SL020263"	"17-beta-hydroxysteroid dehydrogenase 14"	"DHB14"	"Q9BPX1"	""	"HSD17B14"	"Human"	"RFU"	"Protein"	"20"	965.3	965.3	0.98349465	"PASS"	0.979	753	0.96021088	1.019	0.2
"seq.13973.62"	"13973-62"	3	"SL020271"	"Tubulin--tyrosine ligase"	"TTL"	"Q8NG68"	""	"TTL"	"Human"	"RFU"	"Protein"	"20"	456.7	456.7	0.99067245	"PASS"	1.046	323.7	0.96963907	1.047	0.2
"seq.13975.56"	"13975-56"	3	"SL020284"	"Liprin-alpha-1"	"LIPA1"	"Q13136"	""	"PPFIA1"	"Human"	"RFU"	"Protein"	"20"	475.8	475.8	0.96726977	"PASS"	0.986	518.2	1.14237695	0.937	0.2
"seq.13976.9"	"13976-9"	3	"SL015120"	"Rho guanine nucleotide exchange factor 1"	"ARHG1"	"Q92888"	"9138"	"ARHGEF1"	"Human"	"RFU"	"Protein"	"20"	495.9	495.9	0.99678392	"PASS"	0.992	556	1.01660517	0.966	0.2
"seq.13977.28"	"13977-28"	3	"SL015168"	"BRCA1-associated RING domain protein 1"	"BARD1"	"Q99728"	"580"	"BARD1"	"Human"	"RFU"	"Protein"	"20"	424.2	424.2	1.01048118	"PASS"	1.034	440.8	1.04277286	0.976	0.2
